repo,url,stars,forks,open_issues,open_prs,closed_prs,merged_prs,total_closed_prs
STMicroelectronics/OpenOCD,https://github.com/STMicroelectronics/OpenOCD,181,48,19,4,5,0,5
STMicroelectronics/STM32CubeF0,https://github.com/STMicroelectronics/STM32CubeF0,180,65,0,0,1,0,1
STMicroelectronics/STM32CubeF4,https://github.com/STMicroelectronics/STM32CubeF4,1188,471,2,0,34,6,40
STMicroelectronics/STM32CubeF7,https://github.com/STMicroelectronics/STM32CubeF7,381,206,3,0,17,3,20
STMicroelectronics/STM32CubeH7,https://github.com/STMicroelectronics/STM32CubeH7,703,356,7,0,35,8,43
STMicroelectronics/STM32CubeH7RS,https://github.com/STMicroelectronics/STM32CubeH7RS,41,7,0,0,0,0,0
STMicroelectronics/STM32CubeL4,https://github.com/STMicroelectronics/STM32CubeL4,325,168,3,1,11,3,14
STMicroelectronics/STM32CubeMP1,https://github.com/STMicroelectronics/STM32CubeMP1,111,63,0,3,17,0,17
STMicroelectronics/STM32CubeMP13,https://github.com/STMicroelectronics/STM32CubeMP13,25,10,4,0,0,0,0
STMicroelectronics/STM32Cube_MCU_Overall_Offer,https://github.com/STMicroelectronics/STM32Cube_MCU_Overall_Offer,696,108,0,0,2,3,5
STMicroelectronics/STM32MPU_EmbSW_Overall_Offer,https://github.com/STMicroelectronics/STM32MPU_EmbSW_Overall_Offer,117,36,0,0,1,0,1
STMicroelectronics/arm-trusted-firmware,https://github.com/STMicroelectronics/arm-trusted-firmware,40,59,0,0,12,0,12
STMicroelectronics/asm330lhb-pid,https://github.com/STMicroelectronics/asm330lhb-pid,3,1,0,0,0,0,0
STMicroelectronics/asm330lhh-pid,https://github.com/STMicroelectronics/asm330lhh-pid,13,3,2,0,0,0,0
STMicroelectronics/cmsis-device-f0,https://github.com/STMicroelectronics/cmsis-device-f0,13,10,0,0,2,1,3
STMicroelectronics/cmsis-device-f4,https://github.com/STMicroelectronics/cmsis-device-f4,118,38,0,0,5,0,5
STMicroelectronics/cmsis-device-f7,https://github.com/STMicroelectronics/cmsis-device-f7,15,7,0,0,0,1,1
STMicroelectronics/cmsis-device-h7,https://github.com/STMicroelectronics/cmsis-device-h7,40,26,1,0,3,0,3
STMicroelectronics/cmsis-core,https://github.com/STMicroelectronics/cmsis_core,64,23,0,0,0,0,0
STMicroelectronics/devicetree-addons,https://github.com/STMicroelectronics/devicetree-addons,0,1,0,0,0,0,0
STMicroelectronics/dt-stm32mp,https://github.com/STMicroelectronics/dt-stm32mp,3,1,0,0,0,0,0
STMicroelectronics/linux,https://github.com/STMicroelectronics/linux,123,110,0,1,33,0,33
STMicroelectronics/meta-st-openstlinux,https://github.com/STMicroelectronics/meta-st-openstlinux,117,43,0,0,14,1,15
STMicroelectronics/meta-st-py3-ext,https://github.com/STMicroelectronics/meta-st-py3-ext,1,1,0,0,0,1,1
STMicroelectronics/meta-st-stm32mp,https://github.com/STMicroelectronics/meta-st-stm32mp,166,118,0,8,99,2,101
STMicroelectronics/meta-st-stm32mp-oss,https://github.com/STMicroelectronics/meta-st-stm32mp-oss,9,3,0,0,0,0,0
STMicroelectronics/optee_os,https://github.com/STMicroelectronics/optee_os,13,25,0,0,3,0,3
STMicroelectronics/stm32-dp83848,https://github.com/STMicroelectronics/stm32-dp83848,13,1,0,0,0,0,0
STMicroelectronics/stm32-external-loader,https://github.com/STMicroelectronics/stm32-external-loader,172,87,8,6,11,1,12
STMicroelectronics/stm32-mw-freertos,https://github.com/STMicroelectronics/stm32-mw-freertos,30,13,0,0,0,0,0
STMicroelectronics/stm32-mw-openbl,https://github.com/STMicroelectronics/stm32-mw-openbl,272,56,0,0,0,0,0
STMicroelectronics/stm32-rtl8211,https://github.com/STMicroelectronics/stm32-rtl8211,4,0,0,0,0,0,0
STMicroelectronics/stm32-usbx-examples,https://github.com/STMicroelectronics/stm32-usbx-examples,34,4,1,0,0,0,0
STMicroelectronics/stm32-mw-freertos,https://github.com/STMicroelectronics/stm32_mw_freertos,30,13,0,0,0,0,0
STMicroelectronics/stm32f0xx-hal-driver,https://github.com/STMicroelectronics/stm32f0xx-hal-driver,22,18,1,0,3,1,4
STMicroelectronics/stm32f1xx-hal-driver,https://github.com/STMicroelectronics/stm32f1xx-hal-driver,104,39,1,0,2,1,3
STMicroelectronics/stm32f4xx-hal-driver,https://github.com/STMicroelectronics/stm32f4xx-hal-driver,177,71,0,1,5,6,11
STMicroelectronics/stm32f7xx-hal-driver,https://github.com/STMicroelectronics/stm32f7xx-hal-driver,36,18,1,0,5,3,8
STMicroelectronics/stm32g4xx-hal-driver,https://github.com/STMicroelectronics/stm32g4xx-hal-driver,37,18,1,0,5,5,10
STMicroelectronics/stm32h5xx-hal-driver,https://github.com/STMicroelectronics/stm32h5xx-hal-driver,14,11,1,1,3,2,5
STMicroelectronics/stm32h743i-eval-bsp,https://github.com/STMicroelectronics/stm32h743i-eval-bsp,1,2,0,0,0,0,0
STMicroelectronics/stm32h747i-disco-bsp,https://github.com/STMicroelectronics/stm32h747i-disco-bsp,12,7,1,0,4,1,5
STMicroelectronics/stm32h7rsxx-hal-driver,https://github.com/STMicroelectronics/stm32h7rsxx-hal-driver,6,5,1,0,0,0,0
STMicroelectronics/stm32h7s78-dk-bsp,https://github.com/STMicroelectronics/stm32h7s78-dk-bsp,5,2,0,0,0,0,0
STMicroelectronics/stm32h7xx-hal-driver,https://github.com/STMicroelectronics/stm32h7xx-hal-driver,139,58,8,1,8,5,13
STMicroelectronics/stm32h7xx-nucleo-bsp,https://github.com/STMicroelectronics/stm32h7xx-nucleo-bsp,3,3,0,0,0,0,0
STMicroelectronics/stm32l4xx-hal-driver,https://github.com/STMicroelectronics/stm32l4xx-hal-driver,59,20,1,0,1,1,2
STMicroelectronics/stm32l5xx-hal-driver,https://github.com/STMicroelectronics/stm32l5xx-hal-driver,8,8,0,0,1,0,1
STMicroelectronics/stm32mp13xx_hal_driver,https://github.com/STMicroelectronics/stm32mp13xx_hal_driver,3,1,1,0,0,0,0
STMicroelectronics/stm32u0xx-hal-driver,https://github.com/STMicroelectronics/stm32u0xx-hal-driver,4,3,0,0,0,0,0
STMicroelectronics/stm32u3xx-hal-driver,https://github.com/STMicroelectronics/stm32u3xx-hal-driver,2,0,1,0,0,0,0
STMicroelectronics/stm32u5xx-hal-driver,https://github.com/STMicroelectronics/stm32u5xx-hal-driver,24,18,1,0,2,2,4
STMicroelectronics/stm32wl-openbl-apps,https://github.com/STMicroelectronics/stm32wl-openbl-apps,13,1,1,0,0,0,0
STMicroelectronics/u-boot,https://github.com/STMicroelectronics/u-boot,72,85,0,1,4,0,4
STMicroelectronics/x-cube-freertos,https://github.com/STMicroelectronics/x-cube-freertos,31,3,4,0,0,0,0
Saurab17/cortex_m4_template,https://github.com/Saurab17/cortex_m4_template,2,0,0,0,0,0,0
Seeed-Studio/Adafruit_nRF52_Arduino,https://github.com/Seeed-Studio/Adafruit_nRF52_Arduino,29,20,0,1,0,11,11
Seeed-Studio/Grove_3_Axis_Compass_V2.0_BMM150,https://github.com/Seeed-Studio/Grove_3_Axis_Compass_V2.0_BMM150,15,6,0,0,2,0,2
Seeed-Studio/Seeed_Arduino_CAN,https://github.com/Seeed-Studio/Seeed_Arduino_CAN,901,450,0,0,6,56,62
Sensirion/embedded-common,https://github.com/Sensirion/embedded-common/tree/master/i2c,33,17,2,0,13,82,95
ShawnHymel/introduction-to-zephyr,https://github.com/ShawnHymel/introduction-to-zephyr,151,65,2,1,1,3,4
SiliconLabsSoftware/bluetooth_applications,https://github.com/SiliconLabsSoftware/bluetooth_applications,113,63,0,0,3,0,3
SingleTact/MSP430,https://github.com/SingleTact/MSP430,1,0,0,0,0,0,0
SoftEtherVPN/SoftEtherVPN,https://github.com/SoftEtherVPN/SoftEtherVPN,12984,2746,267,20,91,790,881
SpinalHDL/VexRiscv,https://github.com/SpinalHDL/VexRiscv,3013,486,116,6,12,94,106
TCLOpenSource/mt9653,https://github.com/TCLOpenSource/mt9653,16,5,2,0,0,0,0
TEConnectivity/MS5611_Generic_C_Driver,https://github.com/TEConnectivity/MS5611_Generic_C_Driver,4,1,0,1,0,0,0
TannerGilbert/Jetson-Nano-Code-Collection,https://github.com/TannerGilbert/Jetson-Nano-Code-Collection,13,5,0,0,5,3,8
TechNexion-Vision/TEV-Jetson_Camera_driver,https://github.com/TechNexion-Vision/TEV-Jetson_Camera_driver,10,2,0,0,0,1,1
TechNexion/meta-tn-imx-bsp,https://github.com/TechNexion/meta-tn-imx-bsp,9,10,4,1,3,5,8
TexasInstruments/buildroot-external-TI,https://github.com/TexasInstruments/buildroot-external-TI,7,6,2,1,0,32,32
TexasInstruments/edgeai,https://github.com/TexasInstruments/edgeai,158,18,0,0,0,0,0
TexasInstruments/edgeai-gst-plugins,https://github.com/TexasInstruments/edgeai-gst-plugins,24,9,22,3,32,261,293
TexasInstruments/edgeai-modelzoo,https://github.com/TexasInstruments/edgeai-modelzoo,0,0,7,0,0,0,0
TexasInstruments/edgeai-tidl-tools,https://github.com/TexasInstruments/edgeai-tidl-tools,178,43,43,6,0,2,2
TexasInstruments/edgeai-tiovx-apps,https://github.com/TexasInstruments/edgeai-tiovx-apps,8,9,2,0,6,105,111
TexasInstruments/edgeai-tiovx-modules,https://github.com/TexasInstruments/edgeai-tiovx-modules,8,8,1,4,13,75,88
TexasInstruments/mcupsdk-core,https://github.com/TexasInstruments/mcupsdk-core,62,28,0,12,8,11,19
TexasInstruments/mcupsdk-core-k3,https://github.com/TexasInstruments/mcupsdk-core-k3,13,10,1,1,5,16,21
TexasInstruments/mcupsdk-rm-pm-hal,https://github.com/TexasInstruments/mcupsdk-rm-pm-hal,1,2,0,0,0,0,0
TexasInstruments/meta-ti,https://github.com/TexasInstruments/meta-ti,3,2,0,0,1,0,1
TexasInstruments/meta-tisdk,https://github.com/TexasInstruments/meta-tisdk,3,16,0,3,138,6,144
TexasInstruments/processor-sdk-doc,https://github.com/TexasInstruments/processor-sdk-doc,30,79,13,15,60,529,589
TexasInstruments/ti-apps-launcher,https://github.com/TexasInstruments/ti-apps-launcher,1,11,0,0,2,82,84
TexasInstruments/ti-linux-firmware,https://github.com/TexasInstruments/ti-linux-firmware,3,3,0,0,0,0,0
TexasInstruments/ti-linux-kernel,https://github.com/TexasInstruments/ti-linux-kernel,8,8,0,1,0,0,0
TexasInstruments/ti-lvgl-demo,https://github.com/TexasInstruments/ti-lvgl-demo,0,5,0,0,0,4,4
TexasInstruments/ti-u-boot,https://github.com/TexasInstruments/ti-u-boot,2,2,0,0,0,0,0
TheThingsNetwork/lorawan-devices,https://github.com/TheThingsNetwork/lorawan-devices,235,448,15,16,230,643,873
ThibaudetTevai/RH850U2A8-MSPI-TX-RX-with-DMA,https://github.com/ThibaudetTevai/RH850U2A8-MSPI-TX-RX-with-DMA,1,1,0,0,1,0,1
UncleRus/esp-idf-lib,https://github.com/UncleRus/esp-idf-lib,1599,481,1,2,61,296,357
VC-MIPI-modules/vc_mipi_nvidia,https://github.com/VC-MIPI-modules/vc_mipi_nvidia,120,45,107,3,8,8,16
Velleman/VM204-Firmware,https://github.com/Velleman/VM204-Firmware,6,4,0,0,0,0,0
WIZnet-ioNIC/WIZnet-PICO-FREERTOS-C,https://github.com/WIZnet-ioNIC/WIZnet-PICO-FREERTOS-C,8,5,2,0,0,1,1
Wind-River/vxw7-bsp-ti-sitara-am654x,https://github.com/Wind-River/vxw7-bsp-ti-sitara-am654x,5,4,0,0,0,2,2
Wind-River/vxworks7-layer-for-ros2,https://github.com/Wind-River/vxworks7-layer-for-ros2,22,10,0,0,0,20,20
Wind-River/vxworks7-ros2-build,https://github.com/Wind-River/vxworks7-ros2-build,112,28,7,1,5,69,74
WindRiver-Labs/nxp-s32g,https://github.com/WindRiver-Labs/nxp-s32g,7,1,0,0,0,0,0
Xilinx-Wiki-Projects/Video-Example-Designs,https://github.com/Xilinx-Wiki-Projects/Video-Example-Designs,8,5,0,0,0,0,0
Xilinx/Embedded-Design-Tutorials,https://github.com/Xilinx/Embedded-Design-Tutorials,158,66,10,0,2,54,56
Xilinx/PYNQ,https://github.com/Xilinx/PYNQ,2273,856,17,9,143,904,1047
Xilinx/PetaLinux,https://github.com/Xilinx/PetaLinux,17,8,3,3,1,0,1
Xilinx/SDKOpenGLES,https://github.com/Xilinx/SDKOpenGLES,18,13,2,0,4,1,5
Xilinx/Vitis-Tutorials,https://github.com/Xilinx/Vitis-Tutorials,1529,606,18,1,57,166,223
Xilinx/Vitis_Embedded_Platform_Source,https://github.com/Xilinx/Vitis_Embedded_Platform_Source,137,79,12,1,2,11,13
Xilinx/Vitis_Libraries,https://github.com/Xilinx/Vitis_Libraries,1069,399,0,13,6,1,7
Xilinx/Vivado-Design-Tutorials,https://github.com/Xilinx/Vivado-Design-Tutorials,250,88,4,0,1,25,26
Xilinx/arm-trusted-firmware,https://github.com/Xilinx/arm-trusted-firmware,35,35,0,0,5,0,5
Xilinx/dma_ip_drivers,https://github.com/Xilinx/dma_ip_drivers,763,507,176,65,45,27,72
Xilinx/embeddedsw,https://github.com/Xilinx/embeddedsw,1145,1132,229,51,41,0,41
Xilinx/embeddedsw,https://github.com/Xilinx/embeddedsw/tree/master/XilinxProcessorIPLib/drivers/canfd,1145,1132,229,51,41,0,41
Xilinx/hdmi-modules,https://github.com/Xilinx/hdmi-modules,46,26,4,1,0,0,0
Xilinx/linux-xlnx,https://github.com/Xilinx/linux-xlnx,1521,1609,0,2,88,1,89
Xilinx/meta-amd-adaptive-socs,https://github.com/Xilinx/meta-amd-adaptive-socs,2,0,0,0,0,0,0
Xilinx/meta-petalinux,https://github.com/Xilinx/meta-petalinux,100,50,25,6,1,0,1
Xilinx/meta-xilinx,https://github.com/Xilinx/meta-xilinx,168,148,0,24,41,8,49
Xilinx/meta-xilinx-tools,https://github.com/Xilinx/meta-xilinx-tools,66,54,8,6,13,2,15
Xilinx/pcie-model,https://github.com/Xilinx/pcie-model,72,19,1,0,1,0,1
Xilinx/pcie_qdma_ats_example,https://github.com/Xilinx/pcie_qdma_ats_example,27,7,0,0,0,0,0
Xilinx/system-device-tree-xlnx,https://github.com/Xilinx/system-device-tree-xlnx,26,11,3,3,1,0,1
Xilinx/u-boot-xlnx,https://github.com/Xilinx/u-boot-xlnx,671,843,0,2,42,1,43
YoeDistro/meta-intel,https://github.com/YoeDistro/meta-intel,19,18,12,1,3,1,4
YoeDistro/meta-openembedded,https://github.com/YoeDistro/meta-openembedded,2,0,0,0,0,0,0
YogeshwaranP-05/Arduino-L298N-Motor-Driver,https://github.com/YogeshwaranP-05/Arduino-L298N-Motor-Driver,1,0,0,0,0,0,0
YuzukiHD/FreeRTOS-HIFI4-DSP,https://github.com/YuzukiHD/FreeRTOS-HIFI4-DSP,59,18,0,0,0,0,0
adafruit/Adafruit_BMP3XX,https://github.com/adafruit/Adafruit_BMP3XX,31,33,2,1,3,11,14
adafruit/Adafruit_BNO08x,https://github.com/adafruit/Adafruit_BNO08x,75,27,11,1,0,10,10
adafruit/Adafruit_ICM20X,https://github.com/adafruit/Adafruit_ICM20X,29,26,5,1,1,11,12
adafruit/Adafruit_MPU6050,https://github.com/adafruit/Adafruit_MPU6050,160,72,7,4,1,14,15
adafruit/Adafruit_nRF52_Arduino,https://github.com/adafruit/Adafruit_nRF52_Arduino,682,551,72,15,61,273,334
adafruit/circuitpython,https://github.com/adafruit/circuitpython,4475,1376,840,25,589,5552,6141
adamdunkels/uip,https://github.com/adamdunkels/uip,1067,368,5,0,2,0,2
adestotechnologies/Flash-Drivers,https://github.com/adestotechnologies/Flash-Drivers,9,7,2,0,0,0,0
adki/gen_amba_2021,https://github.com/adki/gen_amba_2021,238,61,1,0,0,0,0
agherzan/meta-raspberrypi,https://github.com/agherzan/meta-raspberrypi,655,465,114,19,172,767,939
ahessling/STM32F4Template,https://github.com/ahessling/STM32F4Template,47,13,0,0,0,3,3
ahmed192a/Adaptive-Autosar,https://github.com/ahmed192a/Adaptive-Autosar,7,0,3,0,12,24,36
alexforencich/cocotbext-pcie,https://github.com/alexforencich/cocotbext-pcie,194,56,12,0,0,0,0
alexforencich/verilog-axi,https://github.com/alexforencich/verilog-axi,1960,524,55,11,5,0,5
alexforencich/verilog-axis,https://github.com/alexforencich/verilog-axis,860,266,17,6,7,1,8
alexforencich/verilog-ethernet,https://github.com/alexforencich/verilog-ethernet,2851,807,117,21,13,0,13
alexforencich/verilog-pcie,https://github.com/alexforencich/verilog-pcie,1538,391,38,3,3,2,5
alliedvision/linux_nvidia_jetson,https://github.com/alliedvision/linux_nvidia_jetson,116,43,36,2,2,0,2
altera-fpga/baremetal-drivers,https://github.com/altera-fpga/baremetal-drivers,2,3,0,0,0,2,2
altera-fpga/linux-socfpga,https://github.com/altera-fpga/linux-socfpga,277,309,0,14,21,3,24
altera-fpga/u-boot-socfpga,https://github.com/altera-fpga/u-boot-socfpga,116,150,0,10,9,0,9
analogdevicesinc/adrd2121_imu_ros,https://github.com/analogdevicesinc/adrd2121_imu_ros,0,0,0,0,0,1,1
andestech/buildroot,https://github.com/andestech/buildroot,1,0,0,0,0,0,0
andestech/libdsp,https://github.com/andestech/libdsp,18,3,2,0,1,0,1
andestech/linux,https://github.com/andestech/linux,1,2,0,0,0,0,0
andestech/meta-andes,https://github.com/andestech/meta-andes,16,3,0,0,0,1,1
andestech/nds-gnu-toolchain,https://github.com/andestech/nds-gnu-toolchain,28,19,8,0,0,0,0
andestech/nds-openocd,https://github.com/andestech/nds-openocd,6,3,0,0,2,0,2
andestech/opensbi,https://github.com/andestech/opensbi,1,4,0,0,0,0,0
andestech/uboot,https://github.com/andestech/uboot,3,4,0,0,0,0,0
antmicro/lpddr4-dram-controller-integration-soc,https://github.com/antmicro/lpddr4-dram-controller-integration-soc,4,3,0,0,0,0,0
apache/mynewt-nimble,https://github.com/apache/mynewt-nimble,852,475,126,115,148,1583,1731
apache/nuttx,https://github.com/apache/nuttx,3699,1485,639,98,1214,15515,16729
apache/nuttx-apps,https://github.com/apache/nuttx-apps,412,693,57,5,238,3009,3247
arduino-libraries/Arduino_BMI270_BMM150,https://github.com/arduino-libraries/Arduino_BMI270_BMM150,26,23,10,2,1,46,47
arduino-libraries/BNO055,https://github.com/arduino-libraries/BNO055,25,7,2,0,1,23,24
arduino-libraries/Ethernet,https://github.com/arduino-libraries/Ethernet,275,287,103,46,27,44,71
arduino-libraries/WiFi,https://github.com/arduino-libraries/WiFi,139,65,38,1,4,29,33
arduino/ArduinoCore-avr,https://github.com/arduino/ArduinoCore-avr,1447,1104,249,110,61,60,121
arduino/ArduinoCore-avr,https://github.com/arduino/ArduinoCore-avr/tree/master/libraries/Wire,1447,1104,249,110,61,60,121
arduino/ArduinoCore-renesas,https://github.com/arduino/ArduinoCore-renesas,176,104,75,26,40,257,297
armbian/build,https://github.com/armbian/build,5106,2861,98,59,886,6783,7669
armbian/linux-rockchip,https://github.com/armbian/linux-rockchip,407,426,14,5,56,330,386
astuder/icp-101xx,https://github.com/astuder/icp-101xx,28,11,1,0,0,4,4
atmel-maxtouch/linux,https://github.com/atmel-maxtouch/linux,43,59,0,0,7,6,13
atmel-maxtouch/maXTouch_linux,https://github.com/atmel-maxtouch/maXTouch_linux,16,29,1,0,9,45,54
atmel-maxtouch/mxt-app,https://github.com/atmel-maxtouch/mxt-app,52,58,18,1,12,81,93
autoas/as,https://github.com/autoas/as,847,277,1,0,2,1,3
automote/kicad-library,https://github.com/automote/kicad-library,42,22,0,0,5,32,37
avrxml/asf,https://github.com/avrxml/asf,161,104,9,0,1,0,1
bakialmaci/MSP430-EXAMPLES,https://github.com/bakialmaci/MSP430-EXAMPLES,25,3,0,0,0,1,1
bdx-iot/meta-stm32mp1,https://github.com/bdx-iot/meta-stm32mp1,5,6,0,0,2,47,49
beagleboard/beaglebone-ai-64,https://github.com/beagleboard/beaglebone-ai-64,11,2,0,0,0,0,0
beegee-tokyo/SX126x-Arduino,https://github.com/beegee-tokyo/SX126x-Arduino,273,78,0,0,6,18,24
bluekitchen/btstack,https://github.com/bluekitchen/btstack,2065,677,61,14,125,42,167
bolderflight/bmi088-arduino,https://github.com/bolderflight/bmi088-arduino,59,32,4,3,0,0,0
boschsensortec/BMI270_SensorAPI,https://github.com/boschsensortec/BMI270_SensorAPI,138,78,15,7,4,2,6
boschsensortec/BMM150_SensorAPI,https://github.com/boschsensortec/BMM150_SensorAPI,2,6,0,0,1,2,3
boschsensortec/BNO055_SensorAPI,https://github.com/boschsensortec/BNO055_SensorAPI,247,103,0,4,1,0,1
botletics/Botletics-SIM7000,https://github.com/botletics/Botletics-SIM7000,24,12,5,0,1,7,8
bouffalolab/arduino-bouffalo,https://github.com/bouffalolab/arduino-bouffalo,31,5,6,0,0,0,0
bouffalolab/bl602_sdio_driver,https://github.com/bouffalolab/bl602_sdio_driver,10,5,0,0,0,2,2
bouffalolab/bl808_linux,https://github.com/bouffalolab/bl808_linux,130,45,15,2,0,3,3
bouffalolab/bl_iot_sdk,https://github.com/bouffalolab/bl_iot_sdk,286,185,38,0,8,23,31
bouffalolab/blwnet_xram,https://github.com/bouffalolab/blwnet_xram,24,8,4,0,0,2,2
bouffalolab/bouffalo_drivers,https://github.com/bouffalolab/bouffalo_drivers,5,2,1,0,0,0,0
bouffalolab/bouffalo_isp,https://github.com/bouffalolab/bouffalo_isp,4,1,2,0,0,0,0
bouffalolab/bouffalo_sdk,https://github.com/bouffalolab/bouffalo_sdk,458,163,44,0,18,25,43
brektrou/rtl8821CU,https://github.com/brektrou/rtl8821CU,1719,467,118,14,11,31,42
brendan-w/python-OBD,https://github.com/brendan-w/python-OBD,1250,419,84,7,21,45,66
bri3d/TC1791_CAN_BSL,https://github.com/bri3d/TC1791_CAN_BSL,69,31,5,0,0,0,0
buttercutter/DDR,https://github.com/buttercutter/DDR,61,10,1,0,0,0,0
byronxu99/hdmi-led,https://github.com/byronxu99/hdmi-led,14,2,1,0,2,0,2
